DATE,TIME,SPORT,COMPETITION,ROUND,TEAM A,TEAM B,LOCATION,VIDEO FORMAT,OPERATOR,TRACKING,OUTPUTS,SUPERVISOR,CARRIER IN,CARRIER OUT,PM,STATUS,LOGO
26/03/26,20:45,Football,WCQ - Europe,SF,ITA,NIR,MCR2,1080i50,M.Molinari,Tracking1,1,S.Pedatella, Fiber - EIT , Fiber - EIT ,F.Ferrara,Confirmed,Uefa.png
26/03/26,20:45,Football,WCQ - Europe,SF,POL,ALB,MCR2,1080i50,A.Colzani,PGMOnly,1,S.Pedatella, Fiber - Eurovision, SAT - EIT ,F.Ferrara,Confirmed,Uefa.png
28/03/26,19:00,Football,Friendly,H2H,SCO,JPN,MCR2,1080i50,E.Colognese,PGMOnly,1,F.Ferrara, Fiber - Eurovision, Fiber - Eurovision,F.Ferrara,Confirmed,Uefa.png
28/03/26,20:30,Football,Friendly,H2H,USA,BEL,MCR2,1080i60,,PGMOnly,1,, Fiber - Eurovision, Fiber - Eurovision,F.Ferrara,Cancelled,Uefa.png
29/03/26,03:00,Football,Friendly,H2H,MEX,POR,MCR2,1080i60,M.Molinari,PGMOnly,1,F.Ferrara, TBC , TBC ,F.Ferrara,Confirmed,Uefa.png
31/03/26,01:00,Football,Friendly,H2H,USA,POR,MCR2,1080i60,M.Molinari,PGMOnly,1,F.Gennaro, TBC , TBC ,F.Ferrara,Confirmed,Uefa.png
31/03/26,20:45,Football,Dentsu friendly,H2H,ENG,JPN,MCR2,1080p50,M.Molinari,PGMOnly,1,A.Altafini, Fiber - Eurovision, Fiber - Eurovision,F.Ferrara,Confirmed,Uefa.png
31/03/26,20:45,Football,WCQ - Europe,F,TBC,ALB,MCR2,1080i50,TBC,PGMOnly,1,A.Altafini, Fiber - Eurovision, SAT - EIT ,F.Ferrara,Pending,Uefa.png
31/03/26,21:00,Football,Friendly,H2H,ESP,EGY,MCR2,1080i50,M.Molinari,PGMOnly,1,F.Gennaro, TBC , TBC ,F.Ferrara,Confirmed,Uefa.png
04/04/26,15:00,Football,Serie A,31,LEC,ATA,MCR1,1080p50,D.Colombo,PGMOnly,7,S.Pedatella, Fiber - Eurovision, Fiber - Eurovision,S.Pedatella,Confirmed,SerieA_V2.png
